reference_clause,target_clause,compliance,source_file
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"5. All Confidential Information in any form and any medium, including all copies thereof, disclosed to the Recipient shall be returned to UNHCR or destroyed:  (a) if a business relationship is not entered into with UNHCR on or before the date which is three (3) months after the date both Parties have signed the Agreement; or",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"4. Nothing in this Agreement is to be construed as granting the Recipient, by implication or otherwise, any right whatsoever with respect to the Confidential Information or part thereof.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"11. The Recipient shall not advertise or otherwise make public the fact that it has a confidential relationship with UNHCR, nor shall the Recipient, in any manner whatsoever use the name, emblem, or official seal of the United Nations or UNHCR, or any abbreviation of the name of the United Nations or UNHCR in connection with its business or otherwise.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized form), and that, at the time of disclosure to the Recipient, is designated as confidential.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Some obligations of Agreement may survive termination of Agreement.,"Either Party may terminate the working relationship contemplated by this Agreement by providing written notice to the other, provided, however, that the obligations and restrictions hereunder regarding the Confidential Information shall remain effective following any such termination or any other termination or expiration of this Agreement.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Receiving Party may independently develop information similar to Confidential Information.,The Recipient shall not be precluded from disclosing the Confidential Information that is  (iv) at any time is developed by the Recipient completely independently of any disclosures hereunder.,compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Confidential Information may include verbally conveyed information.,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized form), and that, at the time of disclosure to the Recipient, is designated as confidential.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to: 2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who have a similar need to know the contents of the Confidential Information, provided that, for these purposes a controlled legal entity means:",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"The Recipient will not copy or reproduce the Confidential Information except as reasonably required for the purposes contemplated in this Agreement, and will ensure that any confidentiality or other proprietary rights notices on the Confidential Information are reproduced on all copies.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","The Recipient may disclose the Confidential Information to the extent required by law, provided that, subject to and without any waiver of the privileges and immunities of UNHCR, the Recipient will give UNHCR sufficient prior notice of a request for the disclosure of the Confidential Information in order to allow UNHCR to have a reasonable opportunity to take protective measures or such other action as may be appropriate before any such disclosure is made.",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
