experiment,query,rank,score,chunk_doc,chunk_text_snippet
simple_128_ov8,1. What is the purpose of IOCL's Data Privacy Policy?,1,0.8115473985671997,Indian Oil Priivacy policy.pdf,"5. OBJECTIVE This Privacy Policy is intended to inform the Data Subject on how IOCL collects, processes, stores , and use s personal information that a Data Subject provides to IOCL either directly or indirectly . This Privacy Policy also covers IOCL’s treatment of any personal information that Thir"
simple_128_ov8,1. What is the purpose of IOCL's Data Privacy Policy?,2,0.7607756853103638,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,1. What is the purpose of IOCL's Data Privacy Policy?,3,0.7491879463195801,Indian Oil Priivacy policy.pdf,"for the purposes for which IOCL collected it, unless IOCL reasonably consider s that it need s to use it for another reason and that reason is compatible with the original purpose. 10. CONSENT Data Subject agrees that IOCL does not need any additional or further consent from him/her to use the Data "
simple_128_ov8,2. To whom does this Privacy Policy apply?,1,0.552401602268219,Indian Oil Priivacy policy.pdf,"5. OBJECTIVE This Privacy Policy is intended to inform the Data Subject on how IOCL collects, processes, stores , and use s personal information that a Data Subject provides to IOCL either directly or indirectly . This Privacy Policy also covers IOCL’s treatment of any personal information that Thir"
simple_128_ov8,2. To whom does this Privacy Policy apply?,2,0.49730730056762695,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,2. To whom does this Privacy Policy apply?,3,0.4813399910926819,Indian Oil Priivacy policy.pdf,"Indian Oil Corporation Limited DATA PRIVACY POLICY Indian Oil Corporation Limited DATA PRIVACY POLICY 1. INTRODUCTION Indian Oil Corporation Limited is a company incorporated under the laws of India, having its registered office at IndianOil Bhavan, G -9, Ali Yavar Jung Marg, Bandra [East], Mumbai –"
simple_128_ov8,3. Which laws govern IOCL's Privacy Policy?,1,0.7238446474075317,Indian Oil Priivacy policy.pdf,"5. OBJECTIVE This Privacy Policy is intended to inform the Data Subject on how IOCL collects, processes, stores , and use s personal information that a Data Subject provides to IOCL either directly or indirectly . This Privacy Policy also covers IOCL’s treatment of any personal information that Thir"
simple_128_ov8,3. Which laws govern IOCL's Privacy Policy?,2,0.6583460569381714,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,3. Which laws govern IOCL's Privacy Policy?,3,0.6309677362442017,Indian Oil Priivacy policy.pdf,". Third -Party: Any individual or entity over which IOCL does not have any control or ownership, and which operates independently on its own is hereinafter referred to as a ""Third Party"". 3. GOVERNING LAW IOCL is an organisation based and existing in India and is thus bound by the laws of the Republ"
simple_128_ov8,4. How does the policy define an “Agent”?,1,0.3597243130207062,Indian Oil Priivacy policy.pdf,"entity which has a contractual relationship with IOCL, where IOCL is the principal and the other individual or entity is the agent, shall hereinafter be referred to as an ""Agent"" . For instance, IOCL’s distributors, dealers, CFA, contractors, etc. shall be considered Agents. Data Subject: All indivi"
simple_128_ov8,4. How does the policy define an “Agent”?,2,0.3544697165489197,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,4. How does the policy define an “Agent”?,3,0.35443565249443054,Indian Oil Priivacy policy.pdf,"Indian Oil Corporation Limited DATA PRIVACY POLICY Indian Oil Corporation Limited DATA PRIVACY POLICY 1. INTRODUCTION Indian Oil Corporation Limited is a company incorporated under the laws of India, having its registered office at IndianOil Bhavan, G -9, Ali Yavar Jung Marg, Bandra [East], Mumbai –"
simple_128_ov8,5. What is the definition of “Data Subject”?,1,0.484718382358551,Indian Oil Priivacy policy.pdf,"prevented from complying with its legal , accounting, business or reporting obligation s if the Data Subject fails to provide certain Information when requested by IOCL . IOCL shall not be held liable in any manner whatsoever if IOCL is unable to perform its services or if there is a deficiency in I"
simple_128_ov8,5. What is the definition of “Data Subject”?,2,0.45732200145721436,Indian Oil Priivacy policy.pdf,"to Data Subject . 15. WHO HANDLES AND RETAINS DATA SUBJECT ’S INFORMATION Details about the primary entity which handles and retains the Information is provided below: Indian Oil Corporation Limited having its registered office at: IndianOil Bhavan G-9, Ali Yavar Jung Marg Bandra [East] Mumbai – 400"
simple_128_ov8,5. What is the definition of “Data Subject”?,3,0.454532265663147,Indian Oil Priivacy policy.pdf,"entity which has a contractual relationship with IOCL, where IOCL is the principal and the other individual or entity is the agent, shall hereinafter be referred to as an ""Agent"" . For instance, IOCL’s distributors, dealers, CFA, contractors, etc. shall be considered Agents. Data Subject: All indivi"
simple_128_ov8,6. What does the policy mean by “Information”?,1,0.49602991342544556,Indian Oil Priivacy policy.pdf,"for the purposes for which IOCL collected it, unless IOCL reasonably consider s that it need s to use it for another reason and that reason is compatible with the original purpose. 10. CONSENT Data Subject agrees that IOCL does not need any additional or further consent from him/her to use the Data "
simple_128_ov8,6. What does the policy mean by “Information”?,2,0.4898560345172882,Indian Oil Priivacy policy.pdf,"5. OBJECTIVE This Privacy Policy is intended to inform the Data Subject on how IOCL collects, processes, stores , and use s personal information that a Data Subject provides to IOCL either directly or indirectly . This Privacy Policy also covers IOCL’s treatment of any personal information that Thir"
simple_128_ov8,6. What does the policy mean by “Information”?,3,0.48671025037765503,Indian Oil Priivacy policy.pdf,Agents and a Third Party which collects such Information and transfers it to IOCL for a business requirement ; (c) when Data Subject downloads IOCL’s mobile applications or visits any of the websites owned by IOCL and/or creates an account on the mobile applications or the website s. (d) when Data S
simple_128_ov8,7. How does IOCL collect personal information from data subjects?,1,0.7867558598518372,Indian Oil Priivacy policy.pdf,"5. OBJECTIVE This Privacy Policy is intended to inform the Data Subject on how IOCL collects, processes, stores , and use s personal information that a Data Subject provides to IOCL either directly or indirectly . This Privacy Policy also covers IOCL’s treatment of any personal information that Thir"
